left_sensor,med_sensor,right_sensor,sampling_time,left_motor,right_motor
28.64,25.59,14.82,0.04831218719482422,1.3151281251929134,2.6759997746224915
22.6,20.98,14.85,0.04267525672912598,1.2383232817169245,2.7545398175351776
28.72,21.85,14.83,0.0466761589050293,1.1609643037463393,2.8358020508637516
22.2,20.77,14.77,0.04276418685913086,1.2278448905109485,2.7654183142559834
28.72,25.32,14.52,0.0485692024230957,1.3069297557271227,2.6842842599843384
28.37,24.73,14.52,0.04798769950866699,1.2961348970074509,2.6952282733073427
23.57,21.49,14.51,0.043300628662109375,1.252849615547903,2.739524398735871
28.0,21.81,14.38,0.04594898223876953,1.16904317128382,2.8272117815110405
28.34,23.15,14.26,0.04699563980102539,1.2386147988323386,2.754237737484648
25.93,19.82,14.34,0.04316067695617676,0.9790000000000001,3.036
27.64,23.68,14.45,0.046921730041503906,1.2733667570009026,2.7184452703958373
23.91,17.53,14.5,0.04111361503601074,0.9790000000000001,3.036
27.52,25.78,14.72,0.04860115051269531,1.3386530599207875,2.6523569667298004
27.07,27.09,349.65,0.24296188354492188,2.734490091957864,1.431849175125004
27.63,19.66,347.7,0.23786497116088867,2.537478313882599,1.3568334290105728
35.81,20.75,346.22,0.24237370491027832,1.0577101901454053,3.036
28.38,20.19,676.89,0.4300525188446045,1.0577101901454053,3.036
34.97,33.4,676.88,0.44227123260498047,1.0577101901454053,3.036
41.76,33.04,28.37,0.0686028003692627,1.6988474576271184,3.036000000000001
72.01,40.87,29.14,0.09129047393798828,1.85572264868355,3.035999999999999
36.59,26.29,31.59,0.0642707347869873,1.6224247843467285,3.035999999999999
66.71,256.31,676.87,0.5899264812469482,1.6224247843467285,3.035999999999999
38.82,456.94,676.85,0.690516471862793,1.6224247843467285,3.035999999999999
21.9,21.49,676.86,0.42693591117858887,1.6224247843467285,3.035999999999999
32.73,7.91,57.2,0.06468749046325684,0.9789999999999995,3.0359999999999996
30.79,7.49,676.82,0.4239945411682129,0.9789999999999995,3.0359999999999996
19.87,14.96,5.89,0.031494140625,0.9789999999999995,3.0359999999999996
19.37,14.99,5.82,0.030947446823120117,0.9789999999999995,3.0359999999999996
19.29,14.48,5.61,0.031744956970214844,0.9789999999999995,3.0359999999999996
7.6,14.11,17.11,0.029987573623657227,0.9789999999999995,3.0359999999999996
5.21,14.4,31.07,0.03793931007385254,3.036,0.9789999999999999
5.36,14.52,32.43,0.03972792625427246,3.0359999999999996,0.9789999999999999
5.13,14.69,32.42,0.03804922103881836,3.036,0.9789999999999998
17.47,17.75,29.11,0.04582047462463379,3.036,0.9789999999999999
4.41,14.7,30.87,0.03774380683898926,3.035999999999999,0.9790000000000001
16.66,15.69,38.61,0.050145864486694336,3.035999999999999,0.9789999999999996
13.83,9.59,30.41,0.04033303260803223,3.0359999999999996,0.9790000000000002
17.67,15.67,676.85,0.42125868797302246,3.0359999999999996,0.9790000000000002
39.54,29.52,33.12,0.0690772533416748,2.1739601952684944,3.036000000000001
5.82,256.18,34.35,0.18106341361999512,3.0359999999999996,0.9790000000000002
5.83,30.66,32.84,0.04929852485656738,3.0359999999999996,0.9789999999999998
5.75,6.1,32.94,0.03347039222717285,3.035999999999999,0.9789999999999998
5.98,256.25,28.29,0.1782526969909668,2.2540220767762973,1.7657315863534826
5.41,45.68,30.28,0.05463457107543945,3.0359999999999996,0.9790000000000001
5.64,246.31,27.01,0.17081117630004883,2.153223006716033,1.8839023930816179
53.35,37.01,26.6,0.07562446594238281,1.4840452848006183,3.0359999999999996
52.72,24.32,26.25,0.06809830665588379,1.1378672566371677,3.0359999999999974
263.29,31.45,25.48,0.19455718994140625,1.5681911625756384,3.0359999999999987
470.16,48.52,27.89,0.32648301124572754,1.5681911625756384,3.0359999999999987
52.99,47.31,28.25,0.08352828025817871,1.488793760831889,3.0359999999999974
52.32,47.06,29.12,0.08368730545043945,1.8430799319727893,3.035999999999999
254.76,252.66,676.81,0.6973261833190918,1.8430799319727893,3.035999999999999
10.29,46.02,359.29,0.2495136260986328,3.036,0.9789999999999999
8.37,14.87,353.05,0.22677254676818848,3.036,0.9790000000000001
6.46,23.02,40.41,0.04964947700500488,3.0359999999999987,0.9790000000000006
6.19,35.46,30.14,0.04947304725646973,3.0359999999999996,0.9790000000000001
6.18,241.04,28.75,0.16930556297302246,2.3239169329073475,1.686328290468986
43.68,37.19,26.38,0.07126235961914062,1.4673082559354291,3.035999999999999
43.26,36.91,26.63,0.07060861587524414,1.4880306493059043,3.036
42.81,36.31,26.9,0.07032036781311035,1.517715931154289,3.035999999999999
42.52,35.81,26.5,0.07003307342529297,1.5064278951920014,3.035999999999999
42.42,35.46,26.31,0.06912636756896973,1.5035778461729774,3.035999999999999
41.41,36.6,26.92,0.06902527809143066,1.5118794563151527,3.035999999999999
41.19,246.08,26.52,0.19155335426330566,1.400948717948717,3.035999999999999
40.39,32.35,26.1,0.06633877754211426,1.581530612244897,3.036
25.69,25.56,26.07,0.053529977798461914,1.9434967736457793,2.212419083604777
25.48,31.42,31.34,0.06115865707397461,3.0359999999999996,1.5722580867171372
25.08,240.24,31.79,0.18076539039611816,3.0359999999999996,1.5250308298329878
51.79,31.21,24.62,0.07075166702270508,1.5073810705044586,3.0359999999999996
32.08,49.65,23.87,0.07037854194641113,1.414645842980425,3.035999999999999
24.72,30.81,23.66,0.054155588150024414,2.0822533633808944,2.167768620694371
23.83,31.0,23.51,0.054346323013305664,2.1142285774797025,2.1410178023066577
23.47,43.27,29.07,0.06461119651794434,2.2848960698380445,1.9006161824065488
23.43,30.37,28.93,0.055956125259399414,2.291669106953586,1.8979901535380497
23.22,29.95,28.74,0.05552387237548828,2.2527376552486995,1.9088686020576173
23.11,46.79,28.2,0.06623983383178711,2.194850294619516,1.9453549608269158
23.02,38.76,27.32,0.05976510047912598,2.194176323610139,1.9566254081329781
16.13,37.95,26.84,0.05569767951965332,2.2440800840865105,1.7771920588000325
8.42,22.05,25.98,0.04167652130126953,2.768454941503005,1.2249267812057392
7.85,21.65,26.24,0.04128575325012207,2.8057413501634163,1.189336670592854
7.61,37.04,22.92,0.04813861846923828,2.1399285390713474,1.8998217475728152
7.33,34.44,26.18,0.04817962646484375,2.2641531598940947,1.7540961342407626
6.93,20.9,25.6,0.0400235652923584,2.8707390014829475,1.128343270868825
6.68,34.06,26.76,0.04821920394897461,2.285566338113164,1.7296450163062838
6.78,17.68,25.14,0.037874698638916016,3.0359999999999996,0.9790000000000001
6.36,16.16,26.35,0.035819292068481445,3.035999999999999,0.9789999999999999
6.35,33.9,24.47,0.045384883880615234,2.2170833914863923,1.8085247139553042
29.82,9.72,19.34,0.04302167892456055,0.9790000000000001,3.036
26.86,9.91,18.77,0.040816307067871094,0.9790000000000006,3.035999999999999
32.4,16.23,25.19,0.05075216293334961,0.9790000000000001,3.035999999999999
32.15,232.07,22.68,0.17471075057983398,1.3001340487979747,3.0359999999999996
25.46,27.51,22.14,0.05191683769226074,1.727495333372562,2.351052150170647
27.99,24.85,20.9,0.051752567291259766,1.4724458769371958,2.557110019646368
25.02,23.93,23.28,0.04980349540710449,1.8495804095440709,2.2856320226586733
27.55,26.68,22.37,0.053525447845458984,1.6556423485664786,2.415707952035344
26.96,23.51,22.55,0.051117897033691406,1.7243596034899447,2.3783726237387945
23.93,22.49,14.57,0.044242143630981445,1.3122144255538382,2.6789414012738852
21.37,22.44,6.12,0.03651070594787598,1.5215595251683605,2.4748392768697367
21.63,21.49,5.8,0.03593707084655762,1.3613074086269352,2.6297685871559633
21.64,21.17,5.11,0.03646492958068848,1.32858236196319,2.6624547486033503
23.0,19.58,5.09,0.03639650344848633,0.9790000000000001,3.0359999999999996
21.26,21.49,4.76,0.03596782684326172,1.4146726454033773,2.577243016991296
20.89,20.26,4.15,0.034621477127075195,1.2027711508725436,2.7916118421052603
24.55,21.79,36.79,0.05598950386047363,2.6033880597014907,1.43670346372938
24.47,19.59,36.74,0.05474066734313965,2.5392528363046987,1.35538475344795
19.83,21.06,356.6,0.23933720588684082,3.035999999999999,0.9789999999999996
19.11,19.84,339.31,0.22819066047668457,3.0359999999999996,0.9789999999999996
18.64,19.1,348.54,0.23278403282165527,3.0359999999999996,0.9789999999999998
22.0,8.06,21.63,0.03805041313171387,1.5417503711832676,2.31872576081706
15.36,0.71,19.55,0.027936220169067383,1.5417503711832676,2.31872576081706
15.13,0.49,19.1,0.028002500534057617,1.5417503711832676,2.31872576081706
14.93,0.34,20.24,0.028781414031982422,3.035999999999999,0.9789999999999999
14.86,0.59,23.05,0.03051161766052246,3.035999999999999,0.9789999999999998
14.44,0.78,20.18,0.028675556182861328,3.035999999999999,0.9789999999999999
14.26,0.41,16.4,0.025507450103759766,3.035999999999999,0.9789999999999999
13.87,0.51,16.17,0.025779008865356445,3.035999999999999,0.9789999999999999
13.74,0.6,15.94,0.02581787109375,3.035999999999999,0.9789999999999999
13.05,0.61,15.59,0.025162458419799805,3.035999999999999,0.9789999999999999
